Number of lines in output : 699
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   237.5153    237.4428    5.220724  -0.780 2.803e+07  40.00     0.000000   2.0     5.220404   3.0 CB   
   238.8731    238.8003    5.191048  -0.790 3.792e+07  40.00     0.070727   3.0     5.261457   2.0 CB   
   240.6255    240.5523    5.153243  -0.820 2.491e+07  40.00     0.153855   4.0     5.306782   3.0 CB   
   254.0410    253.9647    4.881109  -0.770 1.950e+07  40.00     0.070727   3.0     4.951536   4.0 CB   
   255.1276    255.0511    4.860319  -1.090 1.666e+07  40.00     0.070727   3.0     4.930746   2.0 CB   
   255.7185    255.6418    4.849089  -1.010 1.424e+07  40.00     0.153855   4.0     5.002647   3.0 CB   
   256.8211    256.7442    4.828270  -0.900 1.157e+07  40.00     0.153855   4.0     4.981828   5.0 CB   
   259.0403    258.9628    4.786907  -1.440 4.010e+06  40.00     0.070727   3.0     4.857339   4.0 CB   
   261.0189    260.9410    4.750620  -0.950 1.569e+07  40.00     0.070727   3.0     4.821054   3.0 CB   
   263.6186    263.5400    4.703773  -0.640 2.443e+07  40.00     0.153855   4.0     4.857339   4.0 CB   
   264.8564    264.7775    4.681790  -0.920 2.286e+07  40.00     0.070727   3.0     4.752228   2.0 CB   
   265.9468    265.8677    4.662593  -0.360 8.233e+07  40.00     0.519046   2.0     5.181354   2.0 CB   
   268.8530    268.7732    4.612192  -0.660 2.884e+07  40.00     0.153855   4.0     4.765763   3.0 CB   
   269.3717    269.2918    4.603311  -1.420 6.990e+06  40.00     0.000000   2.0     4.603028   2.0 CB   
   270.6972    270.6169    4.580771  -0.830 1.923e+07  40.00     0.000000   2.0     4.580490   3.0 CB   
   271.0140    270.9337    4.575415  -0.870 1.750e+07  40.00     0.070727   3.0     4.645861   3.0 CB   
   271.8290    271.7485    4.561697  -1.190 1.943e+07  40.00     0.519046   2.0     5.080464   1.0 CB   
   272.6272    272.5465    4.548342  -0.500 3.153e+07  40.00     0.153855   4.0     4.701917   4.0 CB   
   272.7834    272.7026    4.545738  -0.940 1.144e+07  40.00     0.070727   3.0     4.616186   4.0 CB   
   276.0293    275.9478    4.492282  -1.600 3.141e+06  40.00     0.153855   4.0     4.645861   3.0 CB   
   276.3853    276.3037    4.486496  -0.360 7.623e+07  40.00     0.542626   1.0     5.028847   2.0 CB   
   277.4849    277.4030    4.468718  -0.560 2.651e+07  40.00     0.070727   3.0     4.539170   4.0 CB   
   278.7669    278.6847    4.448167  -0.350 1.278e+08  40.00     0.632570   2.0     5.080464   1.0 CB   
   279.0964    279.0141    4.442916   0.040 3.130e+08  40.00     0.632570   2.0     5.075214   1.0 CB   
   279.2857    279.2034    4.439904  -0.790 1.981e+07  40.00     0.000000   2.0     4.439632   3.0 CB   
   279.5946    279.5122    4.434999  -1.320 4.538e+06  40.00     0.070727   3.0     4.505453   4.0 CB   
