Version =  1.00
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
1936876886  538976288/538976288/538976288  538976288:808333600:1952671088  27604928905478602064189061233358119503952990063191363683293024013752038534946412783449211878110946359290265447995255147820649797911349890538391594505137953437459937023030225538212701227517097428739142466007457973988477752421881971998720.00      0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 2.094202
Extinction Coef Rayleigh  = -0.000000
Extinction Coef Oxygen2   = -0.000000
Extinction Coef Ozone     = 4.780663
Extinction Coef Dust      = 104.464105
Extinction Coef Water     = -0.000000
-------------------------------------------------------
Number of wavelengths      = 501
Responsivity normalization = 401890959920.327026
-------------------------------------------------------
Wave(nm)    WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  350.0000       7.207   -0.000000    1.490545    0.000000    0.000056    0.472260
  350.6000       7.397    0.000000   -0.612090    0.000000    0.000056    0.474172
  351.2000       7.409   -0.000000   -0.626419    0.000000    0.000056    0.476075
  351.8000       7.757   -0.000000    0.600847    0.000000    0.000056    0.477979
  352.4000       7.922    0.000000    1.071517    0.000000    0.000056    0.479863
  353.0000       8.741    0.000000   -0.101690    0.000000    0.000056    0.481747
  353.6000       8.044   -0.000000    0.082280    0.000000    0.000056    0.483613
  354.2000       8.218    0.000000    0.408620    0.000000    0.000056    0.485479
  354.8000       8.046    0.000000   -0.077557    0.000000    0.000056    0.487325
  355.4000       8.219    0.000000   -0.132984    0.000000    0.000056    0.489172
  356.0000       8.219    0.000000   -0.078733    0.000000    0.000056    0.491000
  356.6000       8.430   -0.000000   -0.179802    0.000000    0.000056    0.492829
  357.2000       9.246    0.000000   -1.530281    0.000000    0.000056    0.494647
  357.8000       8.749   -0.000000   -2.224102    0.000000    0.000056    0.496447
  358.4000       9.421   -0.000000   -1.612302    0.000000    0.000056    0.498247
  359.0000       9.931    0.000000   -0.367547    0.000000    0.000056    0.500038
  359.6000       9.602    0.000000   -1.088743    0.000000    0.000056    0.501810
  360.2000      10.045    0.000000   -1.012994    0.000000    0.000056    0.503582
  360.8000       9.668   -0.000000   -0.952911    0.000000    0.000056    0.505344
