Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)	WeightSum	DayResp	CumResp	SmoothResp	DayExtn	CumExtn
350.0000	0.552	1.012407	1.012407	1.012407	0.422053	0.422053
350.6000	0.553	1.010865	1.010865	1.010865	0.423186	0.423186
351.2000	0.554	1.009078	1.009078	1.009078	0.426129	0.426129
351.8000	0.554	1.008118	1.008118	1.008118	0.432321	0.432321
352.4000	0.554	1.008264	1.008264	1.008264	0.436508	0.436508
353.0000	0.554	1.008449	1.008449	1.008449	0.437178	0.437178
353.6000	0.555	1.007558	1.007558	1.007558	0.437946	0.437946
354.2000	0.556	1.005763	1.005763	1.005763	0.440015	0.440015
354.8000	0.556	1.004245	1.004245	1.004245	0.442683	0.442683
355.4000	0.557	1.003928	1.003928	1.003928	0.444467	0.444467
356.0000	0.556	1.004224	1.004224	1.004224	0.444983	0.444983
356.6000	0.557	1.004019	1.004019	1.004019	0.447808	0.447808
357.2000	0.557	1.002719	1.002719	1.002719	0.453470	0.453470
357.8000	0.558	1.000921	1.000921	1.000921	0.456787	0.456787
358.4000	0.559	0.999425	0.999425	0.999425	0.457365	0.457365
359.0000	0.560	0.998167	0.998167	0.998167	0.459021	0.459021
359.6000	0.561	0.996220	0.996220	0.996220	0.461592	0.461592
360.2000	0.562	0.996512	0.996512	0.996512	0.463242	0.463242
360.8000	0.564	0.975227	0.975227	0.975227	0.463634	0.463634
361.4000	0.566	1.059575	1.059575	1.059575	0.464014	0.464014
362.0000	0.567	0.703158	0.703158	0.703158	0.468076	0.468076
362.6000	0.567	3.555217	3.555217	3.555217	0.474978	0.474978
363.2000	0.568	7.971025	7.971025	7.971025	0.478591	0.478591
363.8000	0.570	8.116572	8.116572	8.116572	0.479646	0.479646
364.4000	0.572	8.119649	8.119649	8.119649	0.482569	0.482569
365.0000	0.574	8.067200	8.067200	8.067200	0.485036	0.485036
365.6000	0.576	8.044409	8.044409	8.044409	0.484818	0.484818
366.2000	0.579	7.981050	7.981050	7.981050	0.487513	0.487513
366.8000	0.582	8.032655	8.032655	8.032655	0.494538	0.494538
367.4000	0.585	7.715685	7.715685	7.715685	0.498387	0.498387
368.0000	0.589	11.150986	11.150986	11.150986	0.498156	0.498156
368.6000	0.594	14.782646	14.782646	14.782646	0.499193	0.499193
369.2000	0.599	14.440105	14.440105	14.440105	0.502123	0.502123
369.8000	0.605	14.555608	14.555608	14.555608	0.505072	0.505072
370.4000	0.610	13.597025	13.597025	13.597025	0.506287	0.506287
371.0000	0.617	18.375536	18.375536	18.375536	0.506102	0.506102
371.6000	0.624	20.800651	20.800651	20.800651	0.509312	0.509312
372.2000	0.633	20.174641	20.174641	20.174641	0.515703	0.515703
372.8000	0.644	19.861911	19.861911	19.861911	0.518624	0.518624
373.4000	0.657	23.165555	23.165555	23.165555	0.518406	0.518406
374.0000	0.671	25.219155	25.219155	25.219155	0.519764	0.519764
374.6000	0.686	25.436110	25.436110	25.436110	0.522750	0.522750
375.2000	0.702	28.895711	28.895711	28.895711	0.525599	0.525599
375.8000	0.721	28.936000	28.936000	28.936000	0.526552	0.526552
376.4000	0.745	30.236509	30.236509	30.236509	0.526463	0.526463
377.0000	0.773	32.162234	32.162234	32.162234	0.530279	0.530279
377.6000	0.805	33.610525	33.610525	33.610525	0.536611	0.536611
378.2000	0.838	33.109673	33.109673	33.109673	0.538628	0.538628
378.8000	0.872	35.899771	35.899771	35.899771	0.537725	0.537725
379.4000	0.905	36.143938	36.143938	36.143938	0.538657	0.538657
380.0000	0.938	39.130125	39.130125	39.130125	0.541303	0.541303
380.6000	0.969	39.694306	39.694306	39.694306	0.544008	0.544008
381.2000	0.999	42.886375	42.886375	42.886375	0.544820	0.544820
381.8000	1.030	44.071864	44.071864	44.071864	0.544918	0.544918
382.4000	1.064	45.022155	45.022155	45.022155	0.549052	0.549052
383.0000	1.105	47.183761	47.183761	47.183761	0.555274	0.555274
383.6000	1.150	47.682291	47.682291	47.682291	0.557784	0.557784
384.2000	1.191	50.549054	50.549054	50.549054	0.558037	0.558037
384.8000	1.227	50.149970	50.149970	50.149970	0.559371	0.559371
385.4000	1.259	51.396340	51.396340	51.396340	0.561833	0.561833
386.0000	1.289	53.947708	53.947708	53.947708	0.564371	0.564371
386.6000	1.318	56.270036	56.270036	56.270036	0.565340	0.565340
387.2000	1.346	58.269615	58.269615	58.269615	0.566279	0.566279
387.8000	1.373	59.091582	59.091582	59.091582	0.568909	0.568909
388.4000	1.399	61.338863	61.338863	61.338863	0.572041	0.572041
389.0000	1.421	64.531894	64.531894	64.531894	0.575217	0.575217
389.6000	1.441	67.564751	67.564751	67.564751	0.577871	0.577871
390.2000	1.459	69.693523	69.693523	69.693523	0.579068	0.579068
390.8000	1.477	73.416741	73.416741	73.416741	0.579830	0.579830
391.4000	1.495	77.177005	77.177005	77.177005	0.582259	0.582259
392.0000	1.512	80.464282	80.464282	80.464282	0.584989	0.584989
392.6000	1.527	83.706532	83.706532	83.706532	0.586412	0.586412
393.2000	1.538	87.950928	87.950928	87.950928	0.585648	0.585648
393.8000	1.549	90.867057	90.867057	90.867057	0.586607	0.586607
394.4000	1.559	94.919289	94.919289	94.919289	0.592474	0.592474
395.0000	1.568	98.637560	98.637560	98.637560	0.597402	0.597402
395.6000	1.576	103.934318	103.934318	103.934318	0.597830	0.597830
396.2000	1.581	108.027822	108.027822	108.027822	0.597688	0.597688
396.8000	1.586	113.684022	113.684022	113.684022	0.599033	0.599033
397.4000	1.590	119.185662	119.185662	119.185662	0.601231	0.601231
398.0000	1.593	124.597287	124.597287	124.597287	0.603530	0.603530
398.6000	1.596	131.031022	131.031022	131.031022	0.605202	0.605202
399.2000	1.598	138.286230	138.286230	138.286230	0.605657	0.605657
399.8000	1.599	144.087802	144.087802	144.087802	0.605528	0.605528
400.4000	1.599	151.391693	151.391693	151.391693	0.608319	0.608319
401.0000	1.597	160.036688	160.036688	160.036688	0.613982	0.613982
401.6000	1.595	167.231306	167.231306	167.231306	0.617333	0.617333
402.2000	1.594	175.270217	175.270217	175.270217	0.617824	0.617824
402.8000	1.592	184.419858	184.419858	184.419858	0.618439	0.618439
403.4000	1.590	192.170794	192.170794	192.170794	0.619973	0.619973
404.0000	1.588	200.733477	200.733477	200.733477	0.621979	0.621979
404.6000	1.586	211.156302	211.156302	211.156302	0.623043	0.623043
405.2000	1.583	221.656018	221.656018	221.656018	0.623564	0.623564
405.8000	1.579	230.780519	230.780519	230.780519	0.626107	0.626107
406.4000	1.575	240.899565	240.899565	240.899565	0.629156	0.629156
407.0000	1.570	250.973948	250.973948	250.973948	0.632403	0.632403
407.6000	1.566	262.215417	262.215417	262.215417	0.634971	0.634971
408.2000	1.562	273.999627	273.999627	273.999627	0.636372	0.636372
408.8000	1.557	283.723659	283.723659	283.723659	0.636182	0.636182
409.4000	1.551	296.527387	296.527387	296.527387	0.637698	0.637698
410.0000	1.545	306.466999	306.466999	306.466999	0.640013	0.640013
410.6000	1.538	317.328683	317.328683	317.328683	0.641822	0.641822
411.2000	1.532	328.827809	328.827809	328.827809	0.642404	0.642404
411.8000	1.525	339.035523	339.035523	339.035523	0.643619	0.643619
412.4000	1.518	350.817569	350.817569	350.817569	0.646117	0.646117
413.0000	1.511	361.994995	361.994995	361.994995	0.649009	0.649009
413.6000	1.505	371.329213	371.329213	371.329213	0.651806	0.651806
414.2000	1.498	382.282720	382.282720	382.282720	0.654013	0.654013
414.8000	1.491	392.969848	392.969848	392.969848	0.654418	0.654418
415.4000	1.484	402.396552	402.396552	402.396552	0.654842	0.654842
